,id,created_at,screen_name,retweet_count,favorite_count,text
30,1309180426309828608,2020-09-24 17:18:31,Maxwel_Kiptanui,18,0,Growing produce/food gives great sense accomplishment .. My first harvest time kgs en
75,1306101509231382528,2020-09-16 05:24:00,Maxwel_Kiptanui,3,0,Food safety assurance food cause adverse health effects consumer prepared and/or consum
133,1303922248273801217,2020-09-10 05:04:24,Maxwel_Kiptanui,47,0,Did know small family farms make farms worldwide They backbone many countries food systems
135,1303922119991062538,2020-09-10 05:03:53,Maxwel_Kiptanui,15,0,Looking forward moderating session build back better inclusive sustainable food systems nourish
144,1303920299616997378,2020-09-10 04:56:39,Maxwel_Kiptanui,3,0,Building Back Better Growing Continent ongoing session Our food systems pursue better production nu
160,1302116544546328576,2020-09-05 05:29:11,Maxwel_Kiptanui,269,0,Am looking Agricultural related organization I brand ambassador promote Food security Agri
175,1300872415602409472,2020-09-01 19:05:27,Maxwel_Kiptanui,70,0,Did know small family farms make farms worldwide They backbone many countries food systems
178,1300858173725736962,2020-09-01 18:08:52,Maxwel_Kiptanui,14,0,What would summer without juicy sweet watermelon Watermelon makes perfect snack picnic food summer dessert
198,1298453703595298817,2020-08-26 02:54:21,Maxwel_Kiptanui,26,0,Local knowledge important building sustainable farming food systems highly productive friendly
207,1296373363892523010,2020-08-20 09:07:50,Maxwel_Kiptanui,3,0,Despite coronavirus epidemic products made macadamia nuts cosmetics foods still selling locally
225,1295717235168882688,2020-08-18 13:40:36,Maxwel_Kiptanui,6,0,When labeled African food reach level amp left behind ju
245,1294226972575518721,2020-08-14 10:58:50,Maxwel_Kiptanui,20,0,When animals end consumers food produced humans farmers count losses
313,1290916634585169920,2020-08-05 07:44:44,Maxwel_Kiptanui,7,0,Omri Cohen CEO Israeli Company Keilot engages GI Food Company happening liv
323,1290915382509948929,2020-08-05 07:39:45,Maxwel_Kiptanui,5,9,Omri Cohen CEO Israeli Company Keilot engages GI Food Company Baringo CountyAll
470,1285452405279252480,2020-07-21 05:51:50,Maxwel_Kiptanui,16,0,Friends food agriculture sector critical responding population growth Africa efficiently preven
583,1280529472110956544,2020-07-07 15:49:51,Maxwel_Kiptanui,46,0,Join us tomorrow morning Am KTN News amp KTN Farmers Tv discuss role youth food security
591,1278517309695541249,2020-07-02 02:34:14,Maxwel_Kiptanui,4,0,After best God rest.Soon shall able provide enough food nation
602,1278234034662002688,2020-07-01 07:48:36,Maxwel_Kiptanui,18,0,Did know important staple food nd Join Live Facebook event
628,1276085790838317056,2020-06-25 09:32:15,Maxwel_Kiptanui,188,0,We empower mama mbogas handle stalls professionally keeping books selling clean food supporting small sca
652,1274554868766781442,2020-06-21 04:08:55,Maxwel_Kiptanui,37,0,Supporting youth engage agribusiness ensure food security health nutrition employment
653,1274554568953729024,2020-06-21 04:07:43,Maxwel_Kiptanui,20,0,As contain impacts food agriculture sectors must also contain misinformation.Learn
