,id,created_at,screen_name,retweet_count,favorite_count,text
102,1311226844889444353,2020-09-30 08:50:15,YEFORD_,20,0,What Opportunities Challenges Policies Linking African Farmers Growing Urban Food Markets Feeding A
105,1311226709535064064,2020-09-30 08:49:43,YEFORD_,8,0,Food life force families cultures amp communities.But one third food current global
106,1311226697090560000,2020-09-30 08:49:40,YEFORD_,11,0,With global population expected rise billion efficiency grow food become
112,1311204725979742208,2020-09-30 07:22:22,YEFORD_,5,0,Why food loss amp waste reduction important ever In response effects COVID amp nut
116,1311204409104314375,2020-09-30 07:21:06,YEFORD_,17,0,Wonder could reduce food loss food waste Tips food waste reduction
126,1311204092891537408,2020-09-30 07:19:51,YEFORD_,32,0,In remote rural communities IFAD works food losses high little food goes waste To end
147,1310920696046985216,2020-09-29 12:33:44,YEFORD_,12,0,Acquiring results small space farming amazing One gets consume food grow
155,1310914030069055494,2020-09-29 12:07:15,YEFORD_,5,0,Sustainable food system help mankind increasing population halve.-hunger -poverty -rural exodus -malnutri
182,1310839266843521024,2020-09-29 07:10:10,YEFORD_,94,0,Have ever thought amount food produced never reaches plates And throw away much fo
199,1310838366028664835,2020-09-29 07:06:35,YEFORD_,14,0,A research shown increase people facing food insecurity amp decrease fruit co
206,1310838204069810176,2020-09-29 07:05:56,YEFORD_,14,0,Today st International Day Food Loss Food Waste When food lost wasted resources us
217,1310837863756558337,2020-09-29 07:04:35,YEFORD_,21,0,An estimated billion tonnes offoodiswasted globallyeach year Economically translates 400B annually GHG
228,1310529893730529280,2020-09-28 10:40:49,YEFORD_,24,0,Whether urban rural areas farmers grow food feeds us all.Investing resilience help us build brig
230,1310529844120297472,2020-09-28 10:40:37,YEFORD_,5,0,Tukaunga youth group mission create jobs community also boost food security https //
235,1310529765254860801,2020-09-28 10:40:19,YEFORD_,6,0,Tukaunga youth group mission create jobs community also boost food security ht
238,1310526544629108736,2020-09-28 10:27:31,YEFORD_,5,6,Tukaunga youth group mission create jobs community also boost food securi
243,1310510111551401984,2020-09-28 09:22:13,YEFORD_,13,0,I urge everyone implement kitchen garden technologies ensure food nutrition security h
268,1310499482157621248,2020-09-28 08:39:59,YEFORD_,9,0,I urge everyone take Kitchen Garden Initiative healthier lifestyle food nutrition security
275,1310485364486873088,2020-09-28 07:43:53,YEFORD_,9,0,th September International Day Awareness Food Loss Waste Register amp join us discuss
278,1310485149012893696,2020-09-28 07:43:01,YEFORD_,57,0,Reducing food loss amp waste means saving food 's protecting health This let 's act peopl
285,1310485015373938688,2020-09-28 07:42:29,YEFORD_,26,0,Reducing food losses waste key strengthen .But work together
323,1310453886218579968,2020-09-28 05:38:48,YEFORD_,10,0,Planting quality seeds ensures quality production Qood seeds ensures Food Security Country
363,1309776013853941760,2020-09-26 08:45:10,YEFORD_,14,0,The identifies rapidly growing urban food markets processed prepared perishable foods How ca
368,1309775914725765121,2020-09-26 08:44:47,YEFORD_,35,0,Sometimes oversimplify saying food But ultimately comes tot
