,id,created_at,screen_name,retweet_count,favorite_count,text
173,1272246717291905030,2020-06-14 19:17:09,VMiheso,26,0,exposed dangerous deficiencies food systems actively threatens lives amp livelihoods peopl
197,1260522153772044290,2020-05-13 10:47:55,VMiheso,5,0,Africas smallholders produce food eat It therefore goes without saying cant farm C
203,1258653071556648960,2020-05-08 07:00:51,VMiheso,2,0,NEW RELEASE Situated heart food supply chains commercializing farmers highly vulnerable disruptions ac
216,1255052234221551616,2020-04-28 08:32:25,VMiheso,1,1,food production Africa come land
236,1252982872190996484,2020-04-22 15:29:30,VMiheso,38,0,On take time think food comes produced.From small-scale dairy farmers
239,1252446471946993665,2020-04-21 03:58:02,VMiheso,10,0,We need act stop health crisis transforming food crisis said Gilbert F.Houngbo President
259,1249268377513795585,2020-04-12 09:29:26,VMiheso,5,0,Market failures contribute significantly food loss waste Africa Time coordinated action
260,1248670070542348289,2020-04-10 17:51:58,VMiheso,5,0,Now ever Olam fully committed re-imagine global agriculture amp food systems We working around clock k
269,1247557059295490048,2020-04-07 16:09:16,VMiheso,24,0,threatens food nutrition securityRead Global Food Policy Report recs building
270,1247452450971439104,2020-04-07 09:13:35,VMiheso,2,2,COVID-19 lead food crisis Africa Smallholder farmers lifeline
167,1275311631862501376,2020-06-23 06:16:01,Ushaurikilimo,1,0,Converting papers cash food table come easy way
208,1272800767347511296,2020-06-16 07:58:45,Ushaurikilimo,3,0,Food Safety general term alludes
241,1269348435490201604,2020-06-06 19:20:25,Ushaurikilimo,3,0,As part strategy change produce food Africa looking vibrant horticulture WhatsApp group
250,1268106730178830336,2020-06-03 09:06:19,Ushaurikilimo,13,0,starts today Join one first Digital Conferences kind The theme Rethinking food h
281,1260581204971204609,2020-05-13 14:42:34,Ushaurikilimo,64,0,Its availability food It access food whether physical access economic access.In
295,1258373251488780289,2020-05-07 12:28:57,Ushaurikilimo,17,0,The crisis significantly different crises affecting health also food suppl
309,1254615639110684672,2020-04-27 03:37:32,Ushaurikilimo,27,0,Youth future food security agriculture Lets help overcome challenges give right
317,1253570026512224261,2020-04-24 06:22:39,Ushaurikilimo,130,0,Growing food like printing money I n't need explain Good morning
321,1253279225680986114,2020-04-23 11:07:06,Ushaurikilimo,40,0,Support local farmers local economy.Food fresh preservatives freeYou keep money local communityLo
333,1251557136691277830,2020-04-18 17:04:08,Ushaurikilimo,0,1,Dear Happy th Birthday.You food basket Africa And Africa still depends you.Keep growi
334,1251546679297310722,2020-04-18 16:22:35,Ushaurikilimo,11,0,The pandemic affecting food systems dimensions food securiry across world `` No Country
342,1251099814911229952,2020-04-17 10:46:54,Ushaurikilimo,11,0,Dear A big challenge looming ahead recent surge world food prices threatens
347,1251018185731649536,2020-04-17 05:22:32,Ushaurikilimo,11,31,Dear A big challenge looming ahead recent surge world food prices threa
381,1247424401118769152,2020-04-07 07:22:07,Ushaurikilimo,33,0,Africas smallholders produce food eat It therefore goes without saying cant farm becaus
1807,1278308219757170691,2020-07-01 12:43:24,EllyanneCGithae,10,0,Food systems key understanding response recovery resilience writes special representative Kana
1876,1278174235152863234,2020-07-01 03:50:59,EllyanneCGithae,137,0,The Dutch building green village managed It grows food verticle farms recycle wast
1881,1278174008496869377,2020-07-01 03:50:05,EllyanneCGithae,4,0,In estimates indicated metric tons food rendered unmarketable feral animal invasion farms th
1956,1277129430276726784,2020-06-28 06:39:18,EllyanneCGithae,1,0,The food eat air breathe water drink climate makes planet habitable
1997,1276850247118000128,2020-06-27 12:09:56,EllyanneCGithae,12,0,For big states rely heavily sea food income economic development ocean yet hold
2033,1276729850288578561,2020-06-27 04:11:31,EllyanneCGithae,232,0,This innovative Dutch farm grows food minimal water soil zero pesticides We solutions Let 's hurr
2045,1276728366121603073,2020-06-27 04:05:37,EllyanneCGithae,93,0,Today I 've concluded phase one youth led Covid-19 emergency food program I 've achieved target feeding
2069,1276382632025165824,2020-06-26 05:11:48,EllyanneCGithae,34,0,`` vital improving agricultural amp food production maintaining planet 's resources ecosystems '' Qu
2076,1276382193368121344,2020-06-26 05:10:03,EllyanneCGithae,2,0,talks dig deep food security social inclusion READ
2110,1275994025951100928,2020-06-25 03:27:37,EllyanneCGithae,585,0,I proud already assisted vulnerable athletes food donations This week sup
2131,1275988173483630597,2020-06-25 03:04:21,EllyanneCGithae,10,0,A devastating drought Horn Africa left mln Ugandans need food aid funding 's core budge
2154,1275986446298615814,2020-06-25 02:57:30,EllyanneCGithae,41,0,On Friday I 'll hitting goal distributing food children affected Covid-19 induced lockdown.I 've
2224,1275792185745702912,2020-06-24 14:05:34,EllyanneCGithae,56,0,A regional survey consumers food beverage businesses across South-East Asia shows significant disconnect betwee
2248,1275770246461300738,2020-06-24 12:38:24,EllyanneCGithae,59,0,It 's heartwarming see women receive food families.The Capwell Industries Limited Team donated bales
2261,1275762377577857025,2020-06-24 12:07:07,EllyanneCGithae,108,0,Always practice good hygiene handling food help keep safe protect foodborne diseases More
2326,1275220218575499264,2020-06-23 00:12:47,EllyanneCGithae,12,0,This month ocean-themed Tip I eat sustainable seafood.To help protect marine
2348,1274777619289047041,2020-06-21 18:54:03,EllyanneCGithae,18,0,The impoverished African nation Burundi comes top list world 's food-insecure countries says Christ
2551,1273783504871002113,2020-06-19 01:03:47,EllyanneCGithae,1,0,Asante Sana amp eves session Ireland agriculture food security amp
2614,1273506772897206274,2020-06-18 06:44:09,EllyanneCGithae,100,0,Sustainable gastronomy support agricultural developmentfood securitynutrition sustainable food production andcon
2622,1273506554545950720,2020-06-18 06:43:17,EllyanneCGithae,4,0,How make wood fuel affordable source clean energy meet food nutrition livelihood demands htt
2634,1273506304745771009,2020-06-18 06:42:18,EllyanneCGithae,40,0,When waste food waste resources used food production land water energy To eliminate globa
2642,1273324091559358465,2020-06-17 18:38:15,EllyanneCGithae,15,0,`` There examples exemplary broken relationship global food system It 's
2699,1273230286252367872,2020-06-17 12:25:30,EllyanneCGithae,2,0,Really looking forward discussing agriculture amp food security students later today Ireland amp Kenya lot
